Model,Run,Time,Accuracy
DT,1,6.305477854,0.8970663921770458
DT,2,4.362411816,0.8970663921770458
DT,3,4.308563716,0.8970663921770458
DT,4,4.2759796,0.8970663921770458
DT,5,4.206137684,0.8970663921770458
DT,6,4.238636268,0.8970663921770458
DT,7,4.224920584,0.8970663921770458
DT,8,4.259142318,0.8970663921770458
DT,9,4.247256286,0.8970663921770458
DT,10,4.193159876,0.8970663921770458
DT,11,4.22129888,0.8970663921770458
DT,12,4.2100709,0.8970663921770458
DT,13,4.219310662,0.8970663921770458
DT,14,4.283127244,0.8970663921770458
DT,15,4.200824302,0.8970663921770458
DT,16,4.20689372,0.8970663921770458
DT,17,4.190482727,0.8970663921770458
DT,18,4.389035438,0.8970663921770458
DT,19,4.354223898,0.8970663921770458
DT,20,4.24023083,0.8970663921770458
DT,21,4.255412787,0.8970663921770458
DT,22,4.199354096,0.8970663921770458
DT,23,4.23326336,0.8970663921770458
DT,24,4.220272015,0.8970663921770458
DT,25,4.321458093,0.8970663921770458
DT,26,4.205819875,0.8970663921770458
DT,27,4.203872886,0.8970663921770458
DT,28,4.238963744,0.8970663921770458
DT,29,4.173685278,0.8970663921770458
DT,30,4.210780236,0.8970663921770458
LR,1,4.461736261,0.8969193441658702
LR,2,4.32227629,0.8969193441658702
LR,3,4.38484413,0.8969193441658702
LR,4,3.902151024,0.8969193441658702
LR,5,3.804746574,0.8969193441658702
LR,6,3.69778357,0.8969193441658702
LR,7,3.662263181,0.8969193441658702
LR,8,3.592903563,0.8969193441658702
LR,9,3.762782106,0.8969193441658702
LR,10,3.233699713,0.8969193441658702
LR,11,3.518953409,0.8969193441658702
LR,12,3.229328686,0.8969193441658702
LR,13,3.763383806,0.8969193441658702
LR,14,3.475198642,0.8969193441658702
LR,15,3.258381904,0.8969193441658702
LR,16,3.393456216,0.8969193441658702
LR,17,3.059554037,0.8969193441658702
LR,18,3.403656948,0.8969193441658702
LR,19,3.559249677,0.8969193441658702
LR,20,3.741472871,0.8969193441658702
LR,21,3.750732545,0.8969193441658702
LR,22,3.768550912,0.8969193441658702
LR,23,3.171730809,0.8969193441658702
LR,24,3.236396645,0.8969193441658702
LR,25,3.790568601,0.8969193441658702
LR,26,3.002537463,0.8969193441658702
LR,27,3.682576142,0.8969193441658702
LR,28,3.358467583,0.8969193441658702
LR,29,3.299010234,0.8969193441658702
LR,30,3.595702941,0.8969193441658702
MLP,1,20.036277884,0.8799352988750827
MLP,2,17.156287689,0.8799352988750827
MLP,3,14.686840475,0.8799352988750827
MLP,4,15.190493177,0.8799352988750827
MLP,5,14.682328305,0.8799352988750827
MLP,6,14.7707062,0.8799352988750827
MLP,7,14.300660538,0.8799352988750827
MLP,8,14.355820953,0.8799352988750827
MLP,9,14.252668309,0.8799352988750827
MLP,10,13.967850042,0.8799352988750827
MLP,11,15.248203594,0.8799352988750827
MLP,12,14.108673301,0.8799352988750827
MLP,13,14.454467422,0.8799352988750827
MLP,14,14.566747206,0.8799352988750827
MLP,15,14.104151194,0.8799352988750827
MLP,16,14.604460936,0.8799352988750827
MLP,17,14.502944207,0.8799352988750827
MLP,18,14.735061529,0.8799352988750827
MLP,19,14.326636569,0.8799352988750827
MLP,20,14.753015318,0.8799352988750827
MLP,21,13.861971906,0.8799352988750827
MLP,22,14.320377001,0.8799352988750827
MLP,23,14.506189626,0.8799352988750827
MLP,24,14.239241971,0.8799352988750827
MLP,25,14.309972038,0.8799352988750827
MLP,26,14.787264059,0.8799352988750827
MLP,27,14.487095807,0.8799352988750827
MLP,28,14.196709008,0.8799352988750827
MLP,29,14.426147743,0.8799352988750827
MLP,30,14.496525233,0.8799352988750827
SVM,1,114.885039895,0.8936107639144181
SVM,2,146.447101047,0.8936107639144181
SVM,3,146.120691497,0.8936107639144181
SVM,4,145.892185795,0.8936107639144181
SVM,5,146.204747101,0.8936107639144181
SVM,6,146.020039221,0.8936107639144181
SVM,7,146.542811965,0.8936107639144181
SVM,8,146.158301397,0.8936107639144181
SVM,9,144.733925664,0.8936107639144181
SVM,10,144.475684928,0.8936107639144181
SVM,11,144.489575366,0.8936107639144181
SVM,12,144.355579268,0.8936107639144181
SVM,13,145.014667037,0.8936107639144181
SVM,14,144.900040514,0.8936107639144181
SVM,15,145.277177376,0.8936107639144181
SVM,16,145.089244877,0.8936107639144181
SVM,17,145.149526899,0.8936107639144181
SVM,18,144.946286204,0.8936107639144181
SVM,19,145.104289881,0.8936107639144181
SVM,20,145.785967151,0.8936107639144181
SVM,21,144.55787435,0.8936107639144181
SVM,22,145.056163065,0.8936107639144181
SVM,23,145.317451155,0.8936107639144181
SVM,24,145.343435083,0.8936107639144181
SVM,25,145.585655256,0.8936107639144181
SVM,26,144.985039596,0.8936107639144181
SVM,27,145.322194548,0.8936107639144181
SVM,28,145.458831544,0.8936107639144181
SVM,29,145.645660854,0.8936107639144181
SVM,30,145.821872737,0.8936107639144181
